,Country,Code,Indicator,Year,Co2_per
226,Seychelles,SYC,Emisiones de CO2 (toneladas métricas per capita),1990,2.204094552
227,Republica Arabe Siria,SYR,Emisiones de CO2 (toneladas métricas per capita),1990,2.610049999
228,Islas Turcas y Caicos,TCA,Emisiones de CO2 (toneladas métricas per capita),1990,
229,Chad,TCD,Emisiones de CO2 (toneladas métricas per capita),1990,0.066740243
230,Asia oriental y el Pacífico (BIRF y la AIF),TEA,Emisiones de CO2 (toneladas métricas per capita),1990,1.611429994
231,Europa y Asia central (BIRF y la AIF),TEC,Emisiones de CO2 (toneladas métricas per capita),1990,10.23768929
232,Togo,TGO,Emisiones de CO2 (toneladas métricas per capita),1990,0.252222231
233,Tailandia,THA,Emisiones de CO2 (toneladas métricas per capita),1990,1.593487844
234,Tayikistan,TJK,Emisiones de CO2 (toneladas métricas per capita),1990,2.033681195
235,Turkmenistan,TKM,Emisiones de CO2 (toneladas métricas per capita),1990,12.00079671
236,America Latina y el Caribe (BIRF y la AIF),TLA,Emisiones de CO2 (toneladas métricas per capita),1990,1.997200351
237,Timor-Leste,TLS,Emisiones de CO2 (toneladas métricas per capita),1990,0.0
238,Oriente Medio y Norte de Africa (BIRF y la AIF),TMN,Emisiones de CO2 (toneladas métricas per capita),1990,2.349357068
239,Tonga,TON,Emisiones de CO2 (toneladas métricas per capita),1990,0.851843974
240,Asia meridional (BIRF y la AIF),TSA,Emisiones de CO2 (toneladas métricas per capita),1990,0.561889908
241,Africa al sur del Sahara (BIRF y la AIF),TSS,Emisiones de CO2 (toneladas métricas per capita),1990,0.777742887
242,Trinidad y Tobago,TTO,Emisiones de CO2 (toneladas métricas per capita),1990,10.38469252
243,Tunez,TUN,Emisiones de CO2 (toneladas métricas per capita),1990,1.73837204
244,Turquia,TUR,Emisiones de CO2 (toneladas métricas per capita),1990,2.562358003
245,Tuvalu,TUV,Emisiones de CO2 (toneladas métricas per capita),1990,0.697015901
246,Tanzanía,TZA,Emisiones de CO2 (toneladas métricas per capita),1990,0.072204806
247,Uganda,UGA,Emisiones de CO2 (toneladas métricas per capita),1990,0.044677974
248,Ucrania,UKR,Emisiones de CO2 (toneladas métricas per capita),1990,13.27038584
249,Ingreso mediano alto,UMC,Emisiones de CO2 (toneladas métricas per capita),1990,3.090486539
250,Uruguay,URY,Emisiones de CO2 (toneladas métricas per capita),1990,1.234740193
251,Estados Unidos,USA,Emisiones de CO2 (toneladas métricas per capita),1990,19.40733586
252,Uzbekistan,UZB,Emisiones de CO2 (toneladas métricas per capita),1990,5.741964895
253,San Vicente y las Granadinas,VCT,Emisiones de CO2 (toneladas métricas per capita),1990,0.734307075
254,Venezuela,VEN,Emisiones de CO2 (toneladas métricas per capita),1990,5.145671932
255,Islas Virgenes Britanicas,VGB,Emisiones de CO2 (toneladas métricas per capita),1990,
256,Islas Virgenes (EE.UU.),VIR,Emisiones de CO2 (toneladas métricas per capita),1990,
257,Viet Nam,VNM,Emisiones de CO2 (toneladas métricas per capita),1990,0.288852865
258,Vanuatu,VUT,Emisiones de CO2 (toneladas métricas per capita),1990,0.44339285
259,Mundo,WLD,Emisiones de CO2 (toneladas métricas per capita),1990,4.020867687
260,Samoa,WSM,Emisiones de CO2 (toneladas métricas per capita),1990,0.529176031
261,Kosovo,XKX,Emisiones de CO2 (toneladas métricas per capita),1990,
262,"Yemen, Rep. del",YEM,Emisiones de CO2 (toneladas métricas per capita),1990,0.496616068
263,Sudafrica,ZAF,Emisiones de CO2 (toneladas métricas per capita),1990,6.209372838
