Indicator,Code,Year,Pop
Poblacion Total,CUW,1991,144403
Poblacion Total,CYM,1991,27340
Poblacion Total,CYP,1991,799061
Poblacion Total,CZE,1991,10308578
Poblacion Total,DEU,1991,80013896
Poblacion Total,DJI,1991,628521
Poblacion Total,DMA,1991,69141
Poblacion Total,DNK,1991,5154298
Poblacion Total,DOM,1991,7278402
Poblacion Total,DZA,1991,26133905
Poblacion Total,EAP,1991,1625903768
Poblacion Total,EAR,1991,2088580891
Poblacion Total,EAS,1991,1844603995
Poblacion Total,ECA,1991,364392348
Poblacion Total,ECS,1991,846364518
Poblacion Total,ECU,1991,10686279
Poblacion Total,EGY,1991,58611032
Poblacion Total,EMU,1991,312722340
Poblacion Total,ERI,1991,2039220
Poblacion Total,ESP,1991,38966376
Poblacion Total,EST,1991,1561314
Poblacion Total,ETH,1991,49937430
Poblacion Total,EUU,1991,421744728
Poblacion Total,FCS,1991,493647883
Poblacion Total,FIN,1991,5013740
Poblacion Total,FJI,1991,784832
Poblacion Total,FRA,1991,58557577
Poblacion Total,FRO,1991,46810
Poblacion Total,FSM,1991,100427
Poblacion Total,GAB,1991,1009995
Poblacion Total,GBR,1991,57424897
Poblacion Total,GEO,1991,4835900
Poblacion Total,GHA,1991,15843471
Poblacion Total,GIB,1991,26988
Poblacion Total,GIN,1991,6615734
Poblacion Total,GMB,1991,1083536
Poblacion Total,GNB,1991,993856
Poblacion Total,GNQ,1991,483142
Poblacion Total,GRC,1991,10319927
Poblacion Total,GRD,1991,99758
Poblacion Total,GRL,1991,55500
Poblacion Total,GTM,1991,9296814
Poblacion Total,GUM,1991,140739
Poblacion Total,GUY,1991,744096
Poblacion Total,HIC,1991,1035875187
Poblacion Total,HKG,1991,5752000
Poblacion Total,HND,1991,5196887
Poblacion Total,HPC,1991,367531126
Poblacion Total,HRV,1991,4689022
Poblacion Total,HTI,1991,7066055
Poblacion Total,HUN,1991,10373400
Poblacion Total,IBD,1991,3512455528
Poblacion Total,IBT,1991,4400104121
Poblacion Total,IDA,1991,887648593
Poblacion Total,IDB,1991,292714523
Poblacion Total,IDN,1991,185361228
Poblacion Total,IDX,1991,594934070
Poblacion Total,IMN,1991,69770
Poblacion Total,IND,1991,888941756
Poblacion Total,INX,1991,
Poblacion Total,IRL,1991,3534235
Poblacion Total,IRN,1991,57990883
